Turn;level;correctResponse;nResponses;ISI;reactionTime;blueFailOut;blueFailMiss;dot;blueResponse1;blueResponse2;blueResponse3;blueResponse4
0;Level 2 b;0;3;15000;5,006226;0;3;1;2,001106;2,006709;2,000779;0
1;Level 2 b;0;3;15000;5,006104;0;7;1;2,000995;2,001187;2,001738;2,000967
2;Level 2 b;0;3;2000;5,006622;0;1,;1;2,000324;2,000446;2,001102;0
3;Level 2 b;0;3;2000;1,995758;0;1,;1;2,001125;2,000671;0;0
4;Level 2 b;0;3;2000;4,613159;0;1,;1;2,00085;2,001597;2,006695;2,000816
5;Level 2 b;0;3;15000;1,377625;0;1,;1;2,000433;2,000751;2,001904;0
6;Level 2 b;0;3;2000;1,384827;0;2,;1;2,000982;2,006458;0;0
7;Level 2 b;0;3;2000;1,46936;0;2,;1;2,000167;2,000508;0;0
