Turn;level;correctResponse;nResponses;ISI;reactionTime;blueFailOut;blueFailMiss;dot;blueResponse1;blueResponse2;blueResponse3;blueResponse4
0;Level 2 b;1;3;2000;3,371979;0;2;1;2,000673;2,001508;0;0
1;Level 2 b;0;3;2000;4,365906;0;6;1;2,002107;2,001317;2,001375;2,00169
2;Level 2 b;1;3;15000;2,463593;0;1,;1;2,001687;2,001444;2,001632;2,001696
3;Level 2 b;0;3;2000;2,282867;0;1,;1;2,001659;2,000869;0;0
4;Level 2 b;0;3;2000;3,800629;0;1,;1;2,001312;2,00197;2,002145;2,00096
5;Level 2 b;0;3;2000;5,006927;0;1,;1;2,000976;2,000816;0;0
6;Level 2 b;0;3;2000;5,000214;0;2,;1;2,001359;2,001142;2,00106;0
7;Level 2 b;0;3;15000;5,004364;0;2,;1;2,001995;2,00206;2,001048;0
