Turn;level;correctResponse;nResponses;ISI;reactionTime;blueFailOut;blueFailMiss;dot;blueResponse1;blueResponse2;blueResponse3;blueResponse4
0;Level 2 b;0;3;15000;3,074184;0;3;1;2,00139;2,001917;2,001368;0
1;Level 2 b;0;3;15000;5,006672;0;7;1;2,001573;2,00083;2,002066;2,00145
2;Level 2 b;0;3;2000;5,000587;0;1,;1;2,001089;2,000456;2,001954;2,001343
3;Level 2 b;0;3;2000;5,00045;0;1,;1;2,001464;2,002433;0;0
4;Level 2 b;0;3;2000;5,00029;0;1,;1;2,001032;2,001527;2,000384;0
5;Level 2 b;0;3;15000;5,006424;0;1,;1;2,000492;2,002103;0;0
6;Level 2 b;0;3;2000;2,311356;0;2,;1;2,001333;2,001031;2,002558;0
7;Level 2 b;0;3;2000;5,00354;0;2,;1;2,000683;2,001103;2,001032;0
